ID_OREGANO	LIBELLE
PROTEIN:1	Prothrombin
PROTEIN:2	Epidermal growth factor receptor
PROTEIN:3	Low affinity immunoglobulin gamma Fc region receptor III-B
PROTEIN:4	Complement C1q subcomponent subunit A
PROTEIN:5	Complement C1q subcomponent subunit B
PROTEIN:6	Complement C1q subcomponent subunit C
PROTEIN:7	Low affinity immunoglobulin gamma Fc region receptor III-A
PROTEIN:8	High affinity immunoglobulin gamma Fc receptor I
PROTEIN:9	Low affinity immunoglobulin gamma Fc region receptor II-a
MOLECULE:10	DNA
PROTEIN:11	Interleukin-2 receptor subunit alpha
PROTEIN:12	Interleukin-2 receptor subunit beta
PROTEIN:13	Cytokine receptor common subunit gamma
PROTEIN:14	Tumor necrosis factor
PROTEIN:15	Lymphotoxin-alpha
PROTEIN:16	Low affinity immunoglobulin gamma Fc region receptor II-b
PROTEIN:17	Low affinity immunoglobulin gamma Fc region receptor II-c
PROTEIN:18	Complement component 1q (C1q)
PROTEIN:19	Gonadotropin-releasing hormone receptor
PROTEIN:20	Interferon alpha/beta receptor 2
PROTEIN:21	Interferon alpha/beta receptor 1
PROTEIN:22	Plasminogen
PROTEIN:23	Fibrinogen alpha chain
PROTEIN:24	Fibrinogen gamma chain
PROTEIN:25	Plasminogen activator inhibitor 1
PROTEIN:26	Growth hormone-releasing hormone receptor
PROTEIN:27	Erythropoietin receptor
PROTEIN:28	Urokinase plasminogen activator surface receptor
PROTEIN:29	Plasminogen activator inhibitor 2
PROTEIN:30	Plasma serine protease inhibitor
PROTEIN:31	Low-density lipoprotein receptor-related protein 2
PROTEIN:32	Suppressor of tumorigenicity 14 protein
PROTEIN:33	Nidogen-1
PROTEIN:34	Lutropin-choriogonadotropic hormone receptor
PROTEIN:35	Calcitonin receptor
PROTEIN:36	Granulocyte colony-stimulating factor receptor
PROTEIN:37	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
PROTEIN:38	Interleukin-3 receptor subunit alpha
PROTEIN:39	Cytokine receptor common subunit beta
PROTEIN:40	Syndecan-2
PROTEIN:41	Bone marrow proteoglycan
MOLECULE:42	L-asparagine
PROTEIN:43	Thyrotropin receptor
PROTEIN:44	Coagulation factor X
PROTEIN:45	Coagulation factor IX
PROTEIN:46	von Willebrand factor
PROTEIN:47	Phytanoyl-CoA dioxygenase, peroxisomal
PROTEIN:48	Asialoglycoprotein receptor 2
PROTEIN:49	78 kDa glucose-regulated protein
PROTEIN:50	Calreticulin
PROTEIN:51	Calnexin
PROTEIN:52	Protein ERGIC-53
PROTEIN:53	Prolow-density lipoprotein receptor-related protein 1
PROTEIN:54	Multiple coagulation factor deficiency protein 2
PROTEIN:55	Interleukin-1 receptor type 1
PROTEIN:56	High affinity immunoglobulin gamma Fc receptor IB
PROTEIN:57	Complement C3
PROTEIN:58	Complement C4-A
PROTEIN:59	Complement C4-B
PROTEIN:60	Complement C5
PROTEIN:61	Insulin receptor
PROTEIN:62	Insulin-like growth factor 1 receptor
PROTEIN:63	Carboxypeptidase E
PROTEIN:64	Protein NOV homolog
PROTEIN:65	Insulin-like growth factor-binding protein 7
PROTEIN:66	Tetranectin
PROTEIN:67	Keratin, type II cytoskeletal 8
PROTEIN:68	Annexin A2
PROTEIN:69	Follicle-stimulating hormone receptor
PROTEIN:70	Interferon gamma receptor 1
PROTEIN:71	Interferon gamma receptor 2
PROTEIN:72	Vasopressin V2 receptor
PROTEIN:73	Vasopressin V1a receptor
PROTEIN:74	Vasopressin V1b receptor
PROTEIN:75	Tissue factor
PROTEIN:76	Tissue factor pathway inhibitor
PROTEIN:77	Vitamin K-dependent gamma-carboxylase
PROTEIN:78	Coagulation factor VII
PROTEIN:79	Interleukin-11 receptor subunit alpha
PROTEIN:80	Fibroblast growth factor receptor 2
